"Osnovni podatki o živorojenih, statistiène regije, Slovenija, letno"

"LETO";"STATISTIÈNA REGIJA";"Živorojeni - SKUPAJ";"Živorojeni na 1.000 prebivalcev"
"2020";"Gorenjska";1979;9.5
"2020";"Primorsko-notranjska";485;9.1
"2020";"Goriška";1045;8.8
"2020";"Obalno-kraška";933;8.0
"2021";"SLOVENIJA";18984;9.0
"2021";"Pomurska";882;7.7
"2021";"Podravska";2712;8.3
"2021";"Koroška";675;9.6
"2021";"Savinjska";2299;8.9
"2021";"Zasavska";474;8.3
"2021";"Posavska";698;9.2
"2021";"Jugovzhodna Slovenija";1563;10.7
"2021";"Osrednjeslovenska";5261;9.5
"2021";"Gorenjska";1933;9.1
"2021";"Primorsko-notranjska";519;9.7
"2021";"Goriška";1061;9.0
"2021";"Obalno-kraška";907;7.7
"2022";"SLOVENIJA";17627;8.4
"2022";"Pomurska";878;7.7
"2022";"Podravska";2458;7.5
"2022";"Koroška";610;8.6
"2022";"Savinjska";2225;8.6
"2022";"Zasavska";435;7.6
"2022";"Posavska";615;8.1
"2022";"Jugovzhodna Slovenija";1403;9.6
"2022";"Osrednjeslovenska";4873;8.8
"2022";"Gorenjska";1937;9.2
"2022";"Primorsko-notranjska";442;8.3
"2022";"Goriška";921;7.8
"2022";"Obalno-kraška";830;7.0
"2023";"SLOVENIJA";16989;8.0
"2023";"Pomurska";795;7.0
"2023";"Podravska";2437;7.4
"2023";"Koroška";510;7.2
"2023";"Savinjska";2283;8.7
"2023";"Zasavska";436;7.6
"2023";"Posavska";675;8.9
"2023";"Jugovzhodna Slovenija";1407;9.5
"2023";"Osrednjeslovenska";4600;8.2
"2023";"Gorenjska";1779;8.5
"2023";"Primorsko-notranjska";404;7.5
"2023";"Goriška";875;7.4
"2023";"Obalno-kraška";788;6.6
"2024";"SLOVENIJA";16875;7.9
"2024";"Pomurska";774;6.8
"2024";"Podravska";2396;7.2
"2024";"Koroška";573;8.1
"2024";"Savinjska";2116;8.1
"2024";"Zasavska";440;7.7
"2024";"Posavska";645;8.5
"2024";"Jugovzhodna Slovenija";1402;9.5
"2024";"Osrednjeslovenska";4646;8.2
"2024";"Gorenjska";1763;8.4
"2024";"Primorsko-notranjska";378;7.0
"2024";"Goriška";965;8.2
"2024";"Obalno-kraška";777;6.5
