"Povpreène meseène plaèe pri pravnih osebah, obèine delovnega mesta, Slovenija, letno"

"OBÈINE";"Povpreèna meseèna bruto plaèa (EUR) 2023";"Povpreèna meseèna bruto plaèa (EUR) 2024";"Povpreèna meseèna bruto plaèa (EUR) 2025";"Povpreèna meseèna neto plaèa (EUR) 2023";"Povpreèna meseèna neto plaèa (EUR) 2024";"Povpreèna meseèna neto plaèa (EUR) 2025"
"Litija";1916.29;2035.56;2161.57;1280.63;1323.42;1391.91
"Ljubljana";2591.29;2734.77;2895.15;1658.63;1716.00;1801.43
"Ljubno";2100.75;2185.74;2230.14;1386.67;1414.31;1431.18
"Ljutomer";2049.80;2150.83;2274.55;1355.58;1390.59;1459.75
"Log - Dragomer";1925.34;2064.88;2140.10;1286.18;1341.70;1375.44
"Logatec";2190.41;2340.54;2460.20;1436.16;1494.83;1557.84
"Loška dolina";1730.60;1853.16;1996.48;1159.77;1203.79;1281.45
"Loški Potok";2020.13;2121.97;2416.15;1351.31;1378.25;1576.98
"Lovrenc na Pohorju";1808.74;1993.77;2139.39;1207.09;1297.36;1388.46
"Luèe";1863.16;1942.01;2029.09;1255.06;1278.44;1323.80
"Lukovica";2356.88;2548.62;2637.89;1504.95;1589.85;1637.07
"Majšperk";1881.67;2118.82;2255.95;1252.00;1362.86;1446.92
"Makole";1765.56;1901.91;1989.51;1190.12;1249.02;1301.73
"Maribor";2137.67;2282.45;2452.75;1398.45;1456.52;1550.51
"Markovci";2051.78;2220.30;2317.94;1343.50;1417.72;1472.21
"Medvode";2134.43;2268.92;2403.07;1407.35;1460.08;1528.36
"Mengeš";2551.02;2891.85;3277.86;1651.65;1820.98;2031.61
"Metlika";1891.13;1982.99;2148.38;1259.89;1286.88;1390.43
"Mežica";2196.48;2383.13;2468.80;1438.74;1519.51;1555.94
"Miklavž na Dravskem polju";1770.39;1949.83;2004.41;1187.95;1271.87;1293.02
"Miren - Kostanjevica";1780.47;1912.46;2016.37;1198.75;1251.46;1307.48
"Mirna";2016.77;2151.17;2232.49;1347.55;1396.81;1433.39
"Mirna Peè";1875.56;1994.76;2058.92;1262.68;1306.78;1338.40
"Mislinja";1673.90;1751.81;1845.48;1130.93;1148.57;1202.90
"Mokronog - Trebelno";1854.74;1912.99;2057.77;1253.93;1259.80;1336.51
"Moravèe";1834.40;1983.07;2148.18;1233.67;1293.91;1386.18
"Moravske Toplice";1838.35;1946.59;2094.80;1241.32;1279.98;1364.99
"Mozirje";1911.22;2031.14;2195.11;1266.75;1314.80;1407.64
"Murska Sobota";2152.20;2268.43;2437.56;1416.68;1457.90;1549.49
"Muta";2089.18;2201.84;2261.50;1380.78;1417.88;1443.91
"Naklo";2146.67;2271.13;2404.34;1406.33;1458.09;1525.39
"Nazarje";2004.64;2225.96;2304.44;1316.78;1427.03;1512.24
"Nova Gorica";2190.98;2310.17;2448.63;1444.46;1489.88;1565.55
"Novo mesto";2610.25;2746.81;2841.30;1689.96;1736.17;1784.13
"Odranci";1885.06;2030.89;2038.76;1273.29;1307.96;1301.87
"Oplotnica";1699.89;1823.71;1965.66;1152.06;1200.36;1277.62
"Ormož";2010.50;2112.87;2269.22;1331.07;1365.87;1451.06
"Osilnica";z;z;z;z;z;z
"Pesnica";1870.76;2023.48;2168.27;1238.46;1301.45;1388.37
"Piran/Pirano";1922.95;2039.23;2166.57;1279.31;1321.57;1394.95
"Pivka";2020.35;2132.14;2214.11;1344.85;1381.62;1420.33
"Podèetrtek";1885.47;1938.07;1981.65;1247.59;1247.76;1264.28
"Podlehnik";2263.41;2288.61;2429.75;1480.43;1477.34;1548.35
"Podvelka";1926.58;2038.68;2224.76;1284.91;1327.00;1440.95
"Poljèane";1711.18;1840.55;1971.78;1158.55;1209.61;1287.35
"Polzela";1907.79;2074.84;2214.75;1279.50;1346.33;1424.12
"Postojna";2022.98;2114.34;2255.70;1343.80;1372.75;1443.68
"Prebold";1864.09;2009.79;2260.79;1249.72;1310.76;1501.11
"Preddvor";1958.91;2047.56;2214.70;1307.89;1335.46;1429.65
"Prevalje";2046.91;2149.94;2291.17;1351.40;1386.47;1464.62
"Ptuj";1934.88;2183.08;2294.99;1276.48;1396.07;1456.68
"Puconci";2195.77;2318.32;2465.74;1443.20;1490.60;1576.45
"Raèe - Fram";1886.16;1978.33;2117.51;1253.26;1285.73;1364.07
"Radeèe";1995.13;2116.65;2290.82;1320.67;1367.29;1470.35
"Radenci";1983.43;2120.59;2233.22;1318.42;1374.24;1428.87
"Radlje ob Dravi";2060.18;2178.08;2288.99;1361.48;1406.14;1464.64
"Radovljica";2074.57;2176.67;2286.72;1368.19;1402.74;1463.06
"Ravne na Koroškem";2218.79;2326.09;2457.00;1449.94;1489.76;1562.41
"Razkrižje";1874.68;1943.04;2107.28;1267.55;1277.36;1373.99
"Reèica ob Savinji";1658.02;1806.23;1904.04;1121.25;1185.53;1237.50
"Renèe - Vogrsko";1992.57;2112.38;2183.89;1322.51;1365.91;1399.56
"Ribnica";2100.78;2197.75;2309.62;1384.97;1416.57;1474.56
"Ribnica na Pohorju";1944.47;2044.37;2393.44;1297.90;1330.81;1573.36
"Rogaška Slatina";1869.74;2010.41;2112.40;1239.92;1298.28;1354.88
"Rogašovci";1898.60;1969.15;2090.76;1266.19;1279.78;1352.59
"Rogatec";1803.60;1933.75;2076.46;1199.04;1251.44;1331.64
"Ruše";2175.82;2313.62;2464.49;1424.33;1483.59;1575.70
"Selnica ob Dravi";1724.84;1806.06;1957.44;1157.24;1174.06;1270.42
"Semiè";1798.01;1920.35;2018.56;1212.27;1269.01;1326.07
"Sevnica";2025.14;2145.07;2273.94;1339.98;1386.39;1453.55
"Sežana";2010.40;2103.71;2220.30;1331.10;1359.79;1424.28
"Slovenj Gradec";2113.76;2228.95;2382.60;1386.48;1428.11;1509.03
"Slovenska Bistrica";2160.53;2320.38;2393.29;1416.91;1484.86;1525.47
"Slovenske Konjice";1944.86;2032.03;2143.46;1295.31;1320.44;1383.03
"Sodražica";1822.04;1861.09;1973.14;1232.48;1223.95;1287.73
"Solèava";1901.63;2073.23;2240.20;1266.62;1342.40;1431.84
"Središèe ob Dravi";2145.80;2201.56;2298.81;1408.17;1404.50;1458.19
"Starše";1716.06;1897.76;2026.68;1148.97;1228.30;1303.56
"Straža";1811.74;1933.31;1999.20;1220.71;1268.12;1301.00
"Sveta Ana";1902.11;1978.13;2235.98;1277.99;1293.02;1439.34
"Sveta Trojica v Slov. goricah";2076.61;2267.89;2327.34;1377.30;1473.18;1508.61
"Sveti Andraž v Slov. goricah";1666.07;1764.53;1909.86;1122.34;1155.11;1247.18
"Sveti Jurij ob Šèavnici";1957.15;2087.35;2221.98;1310.89;1360.32;1445.18
